openedAt,mintAmount,option,depositAmount,withdrawAmount,premiumEarned,strikePrice
2023-02-24,6686.11672855,0xea9ae37050a33e72c1f6621484bf3a086bb74980,6686.1167285541915,6686.1167285541915,17.04960349423,1850.0
2023-02-17,6670.61727915,0x82a6b408b28e8d207816eb3dadf0d83637961e63,6670.617279158294,6670.617279158294,15.342419742045,1900.0
2023-02-10,6679.32705469,0x9629b6f4507e0badda2b42ef54d22f6573ebe419,6679.327054691071,6679.327054691071,21.373846575008,1750.0
2023-02-03,6605.37606167,0xd2f74cbe47d3401c4a538294d78d159f846a8874,6605.37606167107,6605.37606167107,18.164715366509,1900.0
2023-01-27,6468.11242164,0xe9daed1608e67b1edb7105411ce5f5e5b01661ef,6468.112421640971,6468.112421640971,18.434126022756,1800.0
2023-01-20,6486.05212088,0xb585236445f325aef203956c8cf19c828736b33b,6486.052120887345,6486.052120887345,20.106761574728,1725.0
2023-01-13,6667.92746787,0xb70ce59a17e3c7016c93c2a0588b8d7ab6cdeae6,6667.927467877648,6667.927467877648,18.670389656823,1600.0
2023-01-06,6810.73594613,0xe67e8bc94d83d201fe6512bdaca3b086ab7f90a9,6810.735946139047,6664.961383960127,13.62147189226,1375.0
2022-12-30,7344.86304184,0x42070416abdb1bf57d27a0e19ec01033e47b9f09,7344.863041846229,7344.863041846229,19.096643908784,1300.0
2022-12-23,8013.32515487,0x2b0bb50d8776b734a9bbeacd987a113585b19668,8013.32515487489,8013.32515487489,20.033312887175,1350.0
2022-12-16,7767.9186023,0xd59f264649d70cebba89da1b03f761e23a593732,7767.918602305345,7767.918602305345,19.41979650575,1400.0
2022-12-09,7796.46350925,0xde388ccad335719bdf2c655cfba3f48bc5910020,7796.46350925854,7796.46350925854,24.9486832296,1450.0
2022-12-02,8453.78774477,0xb68a4ac6ba278cba415c45d870989e4c9df12551,8453.787744772511,8453.787744772511,27.897499557741,1450.0
2022-11-25,9472.13382399,0xca5a25324b3bb5f921d23dad9c2a2cb68fc0da86,9472.133823994478,9472.133823994478,22.733094412778,1350.0
2022-11-18,9355.06959346,0x264d8a9514e5a61145824518dccdeafcac809818,9355.069593461052,9355.069593461052,37.888085333186,1400.0
2022-11-11,9643.87494781,0x5d1c5fe275c1aece39a17af6546872064d780503,9643.874947817496,9643.874947817496,31.824787327773,1550.0
2022-11-04,10048.47222136,0x9baf7cc02bdb7f7e5d0cb4b88192434b5c4e9ba3,10048.47222136463,10048.47222136463,31.150263886216,1850.0
2022-10-28,11249.02729593,0xde0a256dc6b616ec0f38bfac6e0641e62f39576a,11249.027295930022,11249.027295930022,46.121011913313,1700.0
2022-10-21,11516.30770193,0x320bcd78063de9277d001d267fcfb0f3ce7fd6e8,11516.307701930205,11208.023804543813,19.001953863474,1450.0
2022-10-14,12002.1977566,0x10615f09193c25cab8bf03081df8b571f28afab2,12002.197756600852,12002.197756600852,30.60557461584,1500.0
2022-10-07,11821.45329161,0x11a8d65d3c573769c93643183334d107ee2965b0,11821.453291613481,11821.453291613481,34.282069216508,1550.0
2022-09-30,11877.42589682,0x390e8a39bf7f40eefbb872f79038f05cc60b721e,11877.42589682413,11877.42589682413,53.44841653569,1550.0
2022-09-23,10890.23877125,0x9cb641a2315eb55ed96fa25bcc4a602970349600,10890.238771255355,10890.238771255355,45.73900283925,1550.0
2022-09-16,10680.62502706,0x201b655687d7a5531bfe3f9625a8d2a948d62d6d,10680.625027061535,10680.625027061535,56.073250140712,1750.0
2022-09-09,9794.7265329,0x743d7693bfa45fc26c0f3c9567a61a60f256952d,9794.726532908053,9794.726532908053,37.21996082502,2200.0
2022-09-02,11937.99841104,0x7d8bfb7e5ab586cf7fd262e94c7dcb3cbe218963,11937.998411040056,11937.998411040056,53.72099284968,1900.0
2022-08-26,12708.22516909,0x1fd83eda289997b9f1cf98636634b94443aed598,12708.225169096955,12708.225169096955,55.280768227087,1950.0
2022-08-19,12662.03700639,0xbf021ad784e9f29649404d085b862c32fb02db9b,12662.037006399842,12662.037006399842,45.583333223004,2100.0
2022-08-12,12897.99619508,0x67c2c2862f132d5a295c6c05c5cc2d2589e78cb2,12897.996195082102,12897.996195082102,77.387376029004,2200.0
2022-08-05,14386.05931431,0x31fa143c56462b854ab2b8a6bf9f61b1dff0c8c4,14386.05931431917,14386.05931431917,70.64993729267132,2000.0
2022-07-29,14014.79805704,0xb9082df6988b093ab386a9d7ef511c74fd48d66a,14014.798057046663,14014.798057046663,80.31892845965926,2100.0
