mintAmount,openedAt,openTxhash,premiumEarned,strikePrice
9552.12769466,2022-11-18,0xa718a98143ed3aee04a824c3ed9322bac780cee0be8b1699bf4befd7d10cb897,101868.140793,1000.0
11783.58807688,2022-11-11,0x9cd60833a1aea5651f6a8fedc868fcc65c317e1e85b54b8e9a2c5b7cf78dfe20,142581.41573,950.0
12268.71235754,2022-11-04,0xc40c1e9b85a2d95ca20d4bf26c9bfc176c25028b1b6f8c3e4f4c525bc7d45c5f,75248.559088,1375.0
13065.37057894,2022-10-28,0x2ef93ea5fe2a38263cbade4222d0a1915465844df78a5b6b825205a4607f3d9e,86231.482878,1300.0
15889.79378945,2022-10-21,0x24cc8a6a8aba1f0b4c3783402815830b82589c830a4536c646b7f1c9dad0ee16,66207.354536,1100.0
17444.6315358,2022-10-14,0xbe1d06c942f1c7d7b0a806170e85f55a3fe31d598fbc127f7edc98edbe42c0de,87804.557679,1150.0
17586.16872478,2022-10-07,0x4644253a656494eedfeff4a33b9c5dabfb82dd9d54af0b310add912289c31563,109620.462966,1150.0
18520.76982656,2022-09-30,0xda03e4ada5fba40beeb8164715516b44da08ea1014be6fdb770485ddee2920ae,199406.837144,1150.0
17968.73369982,2022-09-23,0xb39f55b2ded90b89671155b24c2d44a0b271d3b18caa0679740aa75c1e08f991,195259.950588,1100.0
15787.90911276,2022-09-16,0xc774c75ef76ad74797b953beb09c4f1e47a0cbae91f09553f0c3bfce07b02420,146301.163837,1200.0
14651.7142533,2022-09-09,0x4e5171147cb083842c960b27a56eeda62507188b2f1c0354b4e5df42c7942438,171914.171039,1350.0
15147.75263692,2022-09-02,0x2576f8e05c6771130776ca92945363536c432a153ec32ad4655102a57e3c2a9e,180258.256379,1350.0
14555.18635003,2022-08-26,0x3e60857623d926afe26881b68af903122ee8702be76ebf34987b3020e5c2dfb4,138273.61442,1400.0
13535.74700252,2022-08-19,0xd18ba0ef1a2f75549e4a078feed0d4322f63f38e2a242803a1d19cf5beaa5198,177318.311032,1450.0
12332.22355704,2022-08-12,0x2cd311af6b1915e32bc19d7ac6bc359c258ed5f4f7b5164082e0364ffd2c1d88,116745.049672,1600.0
13815.68705809,2022-08-05,0x7c58344537309f66b5633d074d34dfa3bdc3df065a602313486598d14a35bf57,134929.027051,1400.0
13751.19825058,2022-07-29,0x1ba132b8bc6c2457f63758d6147ca9d674f9009af4a6ee86a2b0918711dab332,138047.821281,1400.0
14258.51498184,2022-07-22,0x8020ee0a59ea9aa38eb763b02dd15065c40339cae864089bd6d6f51246f91e6a,198194.112742,1350.0
18599.04483625,2022-07-15,0x259d89a64ac66d9df41e8add90e18bc570f9e985ef2c1e8173018f14ec0cb3df,114844.646099,1000.0
