datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,utilizationRate,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber
2023-07-20,204977933.26233266274,22017886.571203543845,204977933.26233266274,0.10741588726541042,7.6709039689767971,0.9548022679867412,0.0820482633857362,Aave Ethereum WBTC,577122.7910816135014793,8949032.0957595720862467,29806.6065,17737781
2023-07-19,213716974.1477041143410895,22303873.602311978604123,213716974.1477041143410895,0.10436173210508455,7.6233964134326504,0.9276550933900859,0.0774489575063312,Aave Ethereum WBTC,1115205.8235245768420111,568554.6415778408157902,29874.40154745,17730560
2023-07-18,212861440.8885811559758565,21569641.2911474222394753,212861440.8885811559758565,0.1013318391584021,7.5762657756344491,0.9007233003625423,0.0730172217434392,Aave Ethereum WBTC,680623.3097652813467401,323972.4675064677993664,29830.64834279,17723502
2023-07-17,214684459.43577328876428,21790075.03855747005768,214684459.43577328876428,0.10149814800673247,7.5788535723647847,0.9022020413513055,0.0732571671076617,Aave Ethereum WBTC,5791939.8520263110692614,1145994.0553188221164001,30136.253324,17716354
2023-07-16,210377725.0962527109095016,27525320.8507893353651496,210377725.0962527109095016,0.13083761999135535,8.0352448792381467,1.1629970738503695,0.121730597440607,Aave Ethereum WBTC,555519.1020404717987368,875958.5154498139,30183.67330968,17709237
2023-07-15,211473360.2969893,27610581.22287255,211473360.2969893,0.13056292851306076,8.0309736218701726,1.1605563553543843,0.1212201948558107,Aave Ethereum WBTC,16621672.501478675148,31890259.0287215752432,30295,17702101
2023-07-14,226502888.06564748411,27581939.68453669377,226502888.06564748411,0.12177301543520541,7.8942437941400416,1.0824250252228809,0.1054479541705879,Aave Ethereum WBTC,2237672.6015836250559589,1157935.1263034764221102,30264.537,17694885
2023-07-13,234454915.2968564053735643,22078335.0791297734940913,234454915.2968564053735643,0.09416878742412019,7.4648460608303266,0.8370548919030438,0.0630594802852935,Aave Ethereum WBTC,314362.8564087270306824,6322156.785693661095811,31476.07671103,17687951
2023-07-12,232009593.2848311416086904,21239958.3955860463619611,232009593.2848311416086904,0.09154775927523995,7.4240752129688345,0.8137572645536197,0.0595980797052411,Aave Ethereum WBTC,5635041.0405147719994655,2281760.3373334056838404,30346.44376687,17680622
2023-07-11,230200883.3764248717864,21554542.97668777095396,230200883.3764248717864,0.0936336240788518,7.4565225524362267,0.8322986013921295,0.0623448865691365,Aave Ethereum WBTC,1036027.5830731626635084,135714.4484507716679346,30551.964324,17673758
2023-07-10,227569891.2572941419736015,21390358.8342630047609108,227569891.2572941419736015,0.09399467880431829,7.4621338508380127,0.8355050576217215,0.0628261831180329,Aave Ethereum WBTC,1263585.4581820758951289,223887.3057774077965965,30321.42184649,17666513
