datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber,maximumLTV,totalCollateralBalanceUSD
2023-09-20,59567787.17618469,5641343.421051137,59567787.17618469,10.473181151397789,1.4731811513977893,0.1185893549426995,Aave Ethereum rETH,3291.830747195055,155495.9200807006,1759.49884829,18180238,74.5,7572273.048390789
2023-09-19,60510993.350495405,5604952.3554748,60510993.350495405,10.440863993267063,1.440863993267064,0.1134434372161811,Aave Ethereum rETH,180441.97851924147,15272.438932166917,1782.83778943,18172407,74.5,7523425.980503087
2023-09-18,60239794.52730573,5624907.244698053,60239794.52730573,10.45249922076672,1.4524992207667204,0.1152829856814905,Aave Ethereum rETH,55136.82510783836,0.0,1779.70211023,18165939,74.5,7550211.066708797
2023-09-17,59677455.88623982,5577202.786874145,59677455.88623982,10.453752758099917,1.4537527580999152,0.1154820548205414,Aave Ethereum rETH,2911.8708403049177,187364.3879838535,1764.72251994,18154451,67.0,8324183.263991261
2023-09-16,60169029.91045503,5605716.161951958,60169029.91045503,10.4492476269079,1.4492476269079015,0.1147674138096508,Aave Ethereum rETH,87853.80698573923,0.0,1773.76905752,18152020,67.0,8366740.540226803
2023-09-15,60296781.20709741,5625627.704192516,60296781.20709741,10.451314719000658,1.4513147190006588,0.1150950375996279,Aave Ethereum rETH,296299.8975282898,0.0,1780.1395424,18145010,67.0,8396459.25998883
2023-09-14,59325489.197096966,5298337.454763768,59325489.197096966,10.389259453230972,1.3892594532309723,0.1054629999085421,Aave Ethereum rETH,1724.8054430471611,1192.8433310188063,1760.2196273,18134561,67.0,7907966.350393685
2023-09-13,58383551.35632629,5211963.348459877,58383551.35632629,10.388660480484752,1.388660480484752,0.1053720797497149,Aave Ethereum rETH,1596.2321387271809,43262.95607898576,1732.29091692,18129446,67.0,7779049.773820712
2023-09-12,58385163.960047,5208101.089775434,58385163.960047,10.387593699814593,1.387593699814592,0.105210246497167,Aave Ethereum rETH,783765.7739570813,318171.01316399325,1731.10865413,18123445,67.0,7773285.208620051
2023-09-11,56399600.670772545,5071381.241921847,56399600.670772545,10.398731461668138,1.398731461668138,0.1069060015659371,Aave Ethereum rETH,1012622.1758514562,1792796.4727527515,1685.74055205,18115034,67.0,7569225.734211711
2023-09-10,59236750.618176594,5257708.311439736,59236750.618176594,10.380669227663711,1.3806692276637125,0.1041628107075998,Aave Ethereum rETH,79482.84415843367,14790.862726903359,1747.75282777,18106835,67.0,7847325.837969755
2023-09-09,59907548.02002329,5322875.750715947,59907548.02002329,10.382131388974642,1.3821313889746425,0.1043835492812547,Aave Ethereum rETH,13810.958399416068,10640.78750231426,1769.46532537,18101535,67.0,7944590.6727103675
2023-09-08,59850498.619084865,5300174.997511279,59850498.619084865,10.377549647327,1.3775496473270017,0.1036926370429158,Aave Ethereum rETH,49113.296066745825,47948.65662054135,1767.88075715,18092422,67.0,7910708.951509371
2023-09-07,60599749.65398968,5387988.14268186,60599749.65398968,10.383059200718952,1.383059200718953,0.1045237397007437,Aave Ethereum rETH,3933878.023264515,1299198.5290796906,1790.04851425,18087676,67.0,8041773.347286359
2023-09-06,57168214.757724755,4748180.491683022,57168214.757724755,10.291985876153744,1.2919858761537442,0.0912113600498771,Aave Ethereum rETH,1227509.931797631,180801.842489486,1766.29313355,18080524,67.0,7086836.55475078
2023-09-05,56114739.01109948,4747505.753796457,56114739.01109948,10.316054622471764,1.3160546224717633,0.0946414159669222,Aave Ethereum rETH,13937.16787894252,1738.97936108518,1766.10366844,18073600,67.0,7085829.483278295
2023-09-04,55799259.14448073,4759558.731299276,55799259.14448073,10.326850744088652,1.326850744088652,0.0962005475909133,Aave Ethereum rETH,496828.6758595129,106364.7658026,1756.56649143,18066492,67.0,7103819.001939219
2023-09-03,55842344.41149873,4796376.681977814,55842344.41149873,10.336083660346484,1.3360836603464847,0.0975440324139513,Aave Ethereum rETH,577427.7999317195,164222.08894035945,1770.22092685,18059131,67.0,7158771.167131065
2023-09-02,55380997.4819846,5229635.992653036,55380997.4819846,10.468909201471,1.4689092014710012,0.1179025782326517,Aave Ethereum rETH,385351.046734432,12480.210811323355,1768.71601674,18051306,67.0,7805426.854706023
2023-09-01,54739323.58780019,5112036.670531929,54739323.58780019,10.452710327340444,1.452710327340444,0.115316498628472,Aave Ethereum rETH,262826.599772998,37173.66839206498,1760.11133097,18044571,67.0,7629905.478405864
2023-08-31,55538243.16833539,1056845.4336879747,55538243.16833539,9.296008298592787,0.2960082985927883,0.0047878570228132,Aave Ethereum rETH,28718.60046544,21282.879384658874,1793.23156607,18036985,67.0,1577381.24431041
2023-08-30,57005067.84997295,1075700.7966159205,57005067.84997295,9.293536818717728,0.2935368187177297,0.0047082397083098,Aave Ethereum rETH,7437.814452050953,34501.93338867452,1840.85875413,18029101,67.0,1605523.5770386872
2023-08-29,58228602.57819279,1098265.4421594092,58228602.57819279,9.293396899348323,0.2933968993483238,0.0047037522513297,Aave Ethereum rETH,140259.7057894428,535074.3716369681,1879.48742455,18022705,67.0,1639202.15247673
2023-08-28,55568367.46577801,1042400.999949678,55568367.46577801,9.291804353253584,0.2918043532535855,0.0046528272958553,Aave Ethereum rETH,89.252287245,14679.759823135386,1780.8485069,18015966,67.0,1555822.387984594
2023-08-27,55863133.28401506,1065519.6407369573,55863133.28401506,9.296702198784953,0.2967021987849515,0.0048103306424519,Aave Ethereum rETH,12927.250157706369,0.0,1789.75803618,18008271,67.0,1590327.8219954588
