timestamp,totalLiquidityAsCollateral
2023-11-01,18826207979421
2023-11-01,65422568331940
2023-11-01,465937706898351952636827
2023-11-01,65422568331940
2023-11-01,65404416516840
2023-11-01,65404416516840
2023-11-01,65404416516840
2023-11-01,65404416516840
2023-11-01,1656981500963158323659560
2023-11-01,1656981500963158323659560
2023-11-01,1898073512081075805173872
2023-11-01,65404416516840
2023-11-01,65404416516840
2023-11-01,65404416516840
2023-11-01,1656981500963158323659560
2023-11-01,38233605007059945802045
2023-11-01,38233605007059945802045
2023-11-01,1656981500963158323659560
2023-11-01,448403223850
2023-11-01,65404416516840
2023-11-01,65404416516840
2023-11-01,65404416516840
