datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,utilizationRate,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber,maximumLTV,totalCollateralBalanceUSD
2023-05-23,163224561.67777067,125758823.96430844,163224561.67777067,0.7704650738323003,4.928000500852135,2.996003505964947,2.077311421794556,Aave Ethereum USDC,336110.2393511357,1733389.0010896756,0.99994404,17325305,74,169944356.7085249
2023-05-22,164592592.69902924,122623947.55516905,164592592.69902924,0.7450149824141649,4.913865611040132,2.8970592772809223,1.9423689969783893,Aave Ethereum USDC,19964399.03142145,14899503.342877656,0.99982217,17318087,74,165708037.23671493
2023-05-21,159531354.46048185,119748236.00091077,159531354.46048185,0.7506250818585891,5.416983875076637,3.335871000613092,2.2534271548781066,Aave Ethereum USDC,21932203.486358825,18908249.85905114,0.9999,17311042,74,161821940.54177132
2023-05-20,156491344.93771788,119748945.09249708,156491344.93771788,0.7652112974053362,5.425089109514247,3.400712876113976,2.3418817333178965,Aave Ethereum USDC,1420312.1361869427,260074.15664661897,0.99986,17303975,74,161822898.77364472
2023-05-19,155336679.51526573,119444369.60191654,155336679.51526573,0.7689386046788655,5.427162543194884,3.41730034555907,2.364783184481023,Aave Ethereum USDC,5168403.658298987,1056105.677936098,0.99996014,17296902,74,161411310.27286017
2023-05-18,151204813.71772787,119427071.088589,151204813.71772787,0.7898364354427089,5.438774334642312,3.510194677138497,2.495097000960816,Aave Ethereum USDC,7739726.709145894,9723503.671188932,0.9999,17289764,74,161387933.90349865
2023-05-17,153178537.61750317,121359634.45565341,153178537.61750317,0.7922757087464588,5.440133002801156,3.521064022409248,2.510573099605721,Aave Ethereum USDC,12649188.121304508,10688471.117560372,0.99990144,17282567,74,163999506.02115324
2023-05-16,151205584.440709,121386053.66132689,151205584.440709,0.8027881649366265,5.445976221208636,3.567809769669089,2.577676476890605,Aave Ethereum USDC,818871.7913189777,574970.6124583461,0.99989235,17275483,74,164035207.65044174
2023-05-15,150952213.01929897,121006146.2571738,150952213.01929897,0.8016188953897839,5.445330106348596,3.5626408507887675,2.570212990921055,Aave Ethereum USDC,886412.8960504819,1191552.7330292638,0.9999,17268432,74,163521819.2664511
2023-05-14,151266701.60932627,120168891.3539386,151266701.60932627,0.7944173441706726,5.441332833684348,3.53066266947478,2.5242797243386126,Aave Ethereum USDC,1161037.4182123428,62934.41781323876,1.00003149,17261305,74,162390393.72153863
2023-05-13,150155149.3776044,119979192.5617248,150155149.3776044,0.7990348187127817,5.443901314374241,3.551210514993927,2.553746964665195,Aave Ethereum USDC,1339619.6092115056,3344720.0367411585,1.00001,17254430,74,162134044.0023308
